id	isolate	aliases	country	continent	region	town_or_city	year	month	isolation_date	received_date	age_yr	age_mth	sex	disease	source	epidemiology	species	penner	bioproject_accession	biosample_accession	NCBI_assembly_accession	ENA_run_accession	private_project	comments	sender	curator	date_entered	datestamp	ST (MLST)	clonal_complex (MLST)
1	P09		Unknown											carrier	goat	carrier	Campylobacter jejuni	9							2	1	2001-02-12	2001-04-24	25	ST-45 complex
2	P12		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	12							2	1	2001-02-12	2001-04-19	2	ST-45 complex
3	P18	ATCC43439	Canada	North America										gastroenteritis	human stool	sporadic case	Campylobacter jejuni	18							2	1	2001-02-12	2001-02-12	3	ST-49 complex
4	P22	ATCC43448	Canada	North America										gastroenteritis	human stool	sporadic case	Campylobacter jejuni	22							2	1	2001-02-12	2001-02-12	4	ST-403 complex
5	P26	ATCC43477	Unknown											carrier	pig	carrier	Campylobacter jejuni	26							2	1	2001-02-12	2001-02-12	5	ST-353 complex
6	P27		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	27							2	1	2001-02-12	2001-04-24	45	ST-45 complex
7	P31		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	31							2	1	2001-02-12	2001-02-12	7	ST-354 complex
8	P33		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	33							2	1	2001-02-12	2001-04-25	418	ST-45 complex
9	P43		Canada	North America		Vancouver								gastroenteritis	human stool	sporadic case	Campylobacter jejuni	43							2	1	2001-02-12	2001-04-24	9	ST-508 complex
10	P55		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	55							2	1	2001-02-12	2001-05-03	45	ST-45 complex
11	P57		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	57							2	1	2001-02-12	2001-04-19	11	ST-45 complex
12	P58		USA	North America	Virginia									gastroenteritis	human stool	sporadic case	Campylobacter jejuni	58							2	1	2001-02-12	2001-04-24	433	ST-433 complex
13	PS02		Unknown											carrier	calf	carrier	Campylobacter jejuni	2							2	1	2001-02-12	2001-04-24	21	ST-21 complex
14	PS11		Canada	North America										gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	1	2001-02-12	2001-04-24	14	ST-257 complex
15	PS16		Unknown														Campylobacter jejuni	16							2	1	2001-02-12	2001-02-12	15	ST-48 complex
16	PS19		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	19							2	1	2001-02-12	2001-04-24	16	ST-22 complex
17	3157		UK [England]	Europe		Norwich	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	1	2001-02-12	2001-02-12	17	ST-257 complex
18	2475		UK [England]	Europe		Manchester	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	11							2	1	2001-02-12	2001-02-12	17	ST-257 complex
19	313		UK [England]	Europe		Gateshead	1990							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	18	ST-21 complex
20	309		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	50	ST-21 complex
21	3618		UK [England]	Europe		Manchester	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	2							2	1	2001-02-12	2001-02-12	20	ST-21 complex
22	2167		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	19	ST-21 complex
23	2248		UK [Scotland]	Europe		Aberdeen	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	2							2	1	2001-02-12	2001-02-12	21	ST-21 complex
24	3201		UK [England]	Europe		Gateshead	1991							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	19							2	1	2001-02-12	2001-02-12	22	ST-22 complex
25	78969		UK	Europe			1994								sand (bathing beach)	environmental isolate	Campylobacter jejuni	23							2	1	2001-02-12	2001-02-12	23	
26	GB2		The Netherlands	Europe										Guillain Barre Syndrome	human stool	sporadic case	Campylobacter jejuni	UT							2	1	2001-02-12	2001-07-09	22	ST-22 complex
27	GB17		The Netherlands	Europe										Guillain Barre Syndrome	human stool	sporadic case	Campylobacter jejuni	4,13,64							2	1	2001-02-12	2001-07-09	416	ST-48 complex
28	1429		New Zealand	Oceania			1993							carrier	chicken	carrier	Campylobacter jejuni	9							2	1	2001-02-12	2001-02-12	25	ST-45 complex
29	P17		Unknown														Campylobacter jejuni	17							2	1	2001-02-12	2001-04-24	26	ST-353 complex
30	P37		Unknown											gastroenteritis	human stool	sporadic case	Campylobacter jejuni	37							2	1	2001-02-12	2001-04-19	51	ST-443 complex
31	P53		Unknown														Campylobacter jejuni	53							2	1	2001-02-12	2001-04-24	28	
32	GB1		The Netherlands	Europe										Guillain Barre Syndrome	human stool	sporadic case	Campylobacter jejuni	1							2	1	2001-02-12	2001-07-09	29	
33	304		UK	Europe			1990								chicken offal or meat		Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	19	ST-21 complex
34	307		UK [Scotland]	Europe	Dumfries and Galloway		1990							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	19	ST-21 complex
35	336		UK [Scotland]	Europe		Edinburgh	1990							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	30	
36	321		UK [England]	Europe		Manchester	1990							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	31	ST-21 complex
37	322		UK [England]	Europe		Poole	1990							gastroenteritis	human stool	sporadic case	Campylobacter jejuni	1							2	1	2001-02-12	2001-02-12	32	ST-21 complex
